Local time in Beijing / Peking,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.04.2020 17:00,22.4,756.5,759.4,-1.4,27,Wind blowing from the south-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,23.6,,,2500 or more  or no clouds.,,,9.0,2.5,No precipitation,12,,,,
06.04.2020 14:00,22.7,757.9,760.9,-2.7,24,Wind blowing from the south-southwest,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,22.7,,,2500 or more  or no clouds.,,,10.0,1.1,No precipitation,12,,,,
06.04.2020 11:00,17.6,760.6,763.5,-0.9,31,Wind blowing from the west-southwest,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,18.6,,,2500 or more  or no clouds.,,,9.0,0.3,No precipitation,12,,,,
06.04.2020 08:00,11.1,761.5,764.5,0.2,53,Wind blowing from the north-northeast,2,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.0,18.6,,,2500 or more  or no clouds.,,,7.0,1.9,No precipitation,12,,,,
06.04.2020 05:00,8.6,761.3,764.2,-0.7,59,Wind blowing from the north-east,2,,5,,Cloud development not observed or not observable. ,,,3.9,18.6,,,2500 or more  or no clouds.,,,8.0,1.0,No precipitation,12,,,,
06.04.2020 02:00,8.7,762.0,764.9,-0.7,45,Wind blowing from the north-east,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,18.6,,,2500 or more  or no clouds.,,,17.0,-2.6,No precipitation,12,,,,
05.04.2020 23:00,12.1,762.7,765.7,-0.3,30,Wind blowing from the south,1,,8,,Cloud development not observed or not observable. ,,,3.9,18.6,,,2500 or more  or no clouds.,,,17.0,-4.9,No precipitation,12,,,,
05.04.2020 20:00,14.8,763.0,766.0,0.6,20,Wind blowing from the south-southwest,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,18.6,,,2500 or more  or no clouds.,,,23.0,-7.9,No precipitation,12,,,,
05.04.2020 17:00,17.4,762.4,765.4,-2.0,15,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,18.6,,,2500 or more  or no clouds.,,,27.0,-9.5,No precipitation,12,,,,
05.04.2020 14:00,17.5,764.4,767.3,-3.0,18,Wind blowing from the south,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,17.8,,,2500 or more  or no clouds.,,,24.0,-7.1,No precipitation,12,,,,
05.04.2020 11:00,13.7,767.4,770.4,-1.6,18,Wind blowing from the south,3,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,17.5,,,2500 or more  or no clouds.,,,30.0,-10.2,No precipitation,12,,,,
05.04.2020 08:00,7.5,769.0,772.0,0.3,42,Wind blowing from the south-southwest,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.9,17.5,,,2500 or more  or no clouds.,,,18.0,-4.6,No precipitation,12,,,,
05.04.2020 05:00,4.8,768.7,771.7,-0.3,64,Wind blowing from the north-east,1,,9,,Cloud development not observed or not observable. ,,,4.8,17.5,,,2500 or more  or no clouds.,,,16.0,-1.6,No precipitation,12,,,,
05.04.2020 02:00,7.4,769.0,772.0,0.2,46,Wind blowing from the east-southeast,2,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.4,17.5,,,2500 or more  or no clouds.,,,24.0,-3.7,No precipitation,12,,,,
04.04.2020 23:00,9.6,768.8,771.8,0.8,35,Wind blowing from the south,2,,,,Cloud development not observed or not observable. ,,,9.6,17.8,,,2500 or more  or no clouds.,,,24.0,-5.1,No precipitation,12,,,,
04.04.2020 20:00,13.0,768.0,771.0,1.1,28,Wind blowing from the south,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,20.1,,,2500 or more  or no clouds.,,,22.0,-5.1,No precipitation,12,,,,
04.04.2020 17:00,16.7,766.9,769.9,-1.6,24,Wind blowing from the south-southwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,18.0,-4.0,No precipitation,12,,,,
04.04.2020 14:00,16.7,768.5,771.4,-1.8,25,Wind blowing from the south-southwest,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,12.0,-3.4,No precipitation,12,,,,
04.04.2020 11:00,14.9,770.3,773.3,0.9,28,Wind blowing from the south,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,,,,2500 or more  or no clouds.,,,10.0,-3.4,No precipitation,12,,,,
04.04.2020 08:00,12.5,769.4,772.3,2.8,39,Wind blowing from the south-southeast,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.9,25.5,,,2500 or more  or no clouds.,,,10.0,-1.1,No precipitation,12,,,,
04.04.2020 05:00,14.0,766.6,769.5,2.1,15,Wind blowing from the north-northeast,3,,11,,Cloud development not observed or not observable. ,,,3.7,25.5,,,2500 or more  or no clouds.,,,30.0,-12.2,No precipitation,12,,,,
04.04.2020 02:00,17.0,764.5,767.3,2.1,16,Wind blowing from the north-east,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,25.5,,,2500 or more  or no clouds.,,,30.0,-9.0,No precipitation,12,,,,
03.04.2020 23:00,13.5,762.4,765.3,2.0,32,Wind blowing from the north-east,1,,11,,Cloud development not observed or not observable. ,,,,25.5,,,2500 or more  or no clouds.,,,27.0,-2.9,No precipitation,12,,,,
03.04.2020 20:00,19.9,760.4,763.3,1.5,17,Wind blowing from the south-west,4,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,25.5,,,2500 or more  or no clouds.,,,30.0,-5.9,No precipitation,12,,,,
03.04.2020 17:00,25.1,758.9,761.8,-2.0,9,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,25.5,,,2500 or more  or no clouds.,,,30.0,-10.0,No precipitation,12,,,,
03.04.2020 14:00,23.8,760.9,763.8,-2.7,9,Wind blowing from the west,4,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,24.0,,,2500 or more  or no clouds.,,,30.0,-11.0,No precipitation,12,,,,
03.04.2020 11:00,21.1,763.6,766.5,-0.3,11,Wind blowing from the north-northwest,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,21.2,,,2500 or more  or no clouds.,,,30.0,-10.5,No precipitation,12,,,,
03.04.2020 08:00,15.0,763.9,766.9,0.6,16,Wind blowing from the north-northwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,21.2,,,2500 or more  or no clouds.,,,30.0,-10.6,No precipitation,12,,,,
03.04.2020 05:00,4.3,763.3,766.2,0.0,66,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,,,1.7,21.2,,,2500 or more  or no clouds.,,,8.0,-1.5,No precipitation,12,,,,
03.04.2020 02:00,6.0,763.3,766.2,0.1,57,Wind blowing from the north,1,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,21.2,,,2500 or more  or no clouds.,,,14.0,-1.9,No precipitation,12,,,,
02.04.2020 23:00,12.2,763.2,766.1,0.6,35,Wind blowing from the south-west,1,,10,,Cloud development not observed or not observable. ,,,1.7,21.2,,,2500 or more  or no clouds.,,,18.0,-2.8,No precipitation,12,,,,
02.04.2020 20:00,15.1,762.6,765.5,0.9,24,Wind blowing from the south-southwest,3,,,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,21.2,,,2500 or more  or no clouds.,,,21.0,-5.3,No precipitation,12,,,,
02.04.2020 17:00,20.1,761.7,764.6,-1.5,10,Wind blowing from the south-west,4,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,21.2,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
02.04.2020 14:00,19.5,763.2,766.1,-2.1,7,Wind blowing from the north-northwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,19.8,,,2500 or more  or no clouds.,,,30.0,-17.2,No precipitation,12,,,,
02.04.2020 11:00,16.5,765.3,768.2,-0.5,8,Wind blowing from the north,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,17.0,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
02.04.2020 08:00,10.3,765.8,768.8,0.7,30,Wind blowing from the north-west,2,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,1.7,16.6,,,2500 or more  or no clouds.,,,29.0,-6.5,No precipitation,12,,,,
02.04.2020 05:00,2.3,765.1,768.1,0.5,78,Wind blowing from the north,0,,8,,Cloud development not observed or not observable. ,,,2.3,16.6,,,2500 or more  or no clouds.,,,9.0,-1.1,No precipitation,12,,,,
02.04.2020 02:00,4.7,764.6,767.6,-0.4,68,Wind blowing from the south-west,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,4.7,16.6,,,2500 or more  or no clouds.,,,10.0,-0.7,No precipitation,12,,,,
01.04.2020 23:00,9.2,765.0,768.0,0.4,53,Wind blowing from the south-southwest,2,,8,,Cloud development not observed or not observable. ,,,9.2,16.6,,,2500 or more  or no clouds.,,,15.0,-0.1,No precipitation,12,,,,
01.04.2020 20:00,12.1,764.6,767.6,0.7,42,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,16.6,,,2500 or more  or no clouds.,,,19.0,-0.4,No precipitation,12,,,,
01.04.2020 17:00,15.4,763.9,766.8,-1.6,10,Wind blowing from the south,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,18.1,,,2500 or more  or no clouds.,,,30.0,-16.1,No precipitation,12,,,,
01.04.2020 14:00,15.2,765.5,768.4,-2.6,10,Wind blowing from the south-west,3,,10,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,19.2,,,2500 or more  or no clouds.,,,30.0,-16.2,No precipitation,12,,,,
01.04.2020 11:00,13.0,768.1,771.1,-0.3,10,Wind blowing from the north,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,,,,2500 or more  or no clouds.,,,30.0,-17.9,No precipitation,12,,,,
01.04.2020 08:00,10.5,768.4,771.4,1.6,13,Wind blowing from the north-northeast,2,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.9,19.2,,,2500 or more  or no clouds.,,,30.0,-16.8,No precipitation,12,,,,
01.04.2020 05:00,10.5,766.8,769.7,0.6,15,Wind blowing from the north-northeast,4,,11,,Cloud development not observed or not observable. ,,,8.8,19.2,,,2500 or more  or no clouds.,,,30.0,-15.1,No precipitation,12,,,,
01.04.2020 02:00,12.0,766.2,769.1,1.3,15,Wind blowing from the north-northeast,5,,11,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,19.2,,,2500 or more  or no clouds.,,,30.0,-13.8,No precipitation,12,,,,
31.03.2020 23:00,13.2,764.9,767.8,3.2,48,Wind blowing from the east-northeast,4,,9,,Cloud development not observed or not observable. ,,,8.8,19.2,,,2500 or more  or no clouds.,,,14.0,2.4,No precipitation,12,,,,
31.03.2020 20:00,14.0,761.7,764.6,3.1,56,Wind blowing from the east-northeast,4,,9,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,19.2,,,2500 or more  or no clouds.,,,7.0,5.4,No precipitation,12,,,,
31.03.2020 17:00,18.1,758.6,761.5,0.7,43,Wind blowing from the east,3,,6,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,19.2,,,2500 or more  or no clouds.,,,6.0,5.3,No precipitation,12,,,,
31.03.2020 14:00,18.0,757.9,760.8,-1.4,41,Wind blowing from the east-northeast,3,,6,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,18.1,,,2500 or more  or no clouds.,,,5.0,4.6,No precipitation,12,,,,
31.03.2020 11:00,14.4,759.3,762.2,0.2,52,Wind blowing from the north-northwest,1,,5,90  or more  but not 100%,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.8,18.0,,,2500 or more  or no clouds.,,,5.0,4.7,No precipitation,12,,,,
31.03.2020 08:00,10.1,759.1,762.0,0.8,68,Wind blowing from the south,3,,5,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,8.2,18.0,,,2500 or more  or no clouds.,,,6.0,4.5,No precipitation,12,,,,
31.03.2020 05:00,9.4,758.3,761.2,-0.2,67,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,,,6.3,18.0,,,2500 or more  or no clouds.,,,7.0,3.6,No precipitation,12,,,,
31.03.2020 02:00,10.7,758.5,761.5,-0.4,57,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,18.0,,,2500 or more  or no clouds.,,,10.0,2.5,No precipitation,12,,,,
30.03.2020 23:00,12.2,758.9,761.8,0.1,51,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,,,6.3,18.0,,,2500 or more  or no clouds.,,,10.0,2.4,No precipitation,12,,,,
30.03.2020 20:00,14.5,758.8,761.8,0.9,48,Wind blowing from the south,1,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,18.0,,,1500-2000,,,8.0,3.6,No precipitation,12,,,,
30.03.2020 17:00,16.8,757.9,760.9,-0.9,35,Wind blowing from the south-west,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,18.0,,,1500-2000,,,12.0,1.3,No precipitation,12,,,,
30.03.2020 14:00,17.3,758.8,761.8,-2.1,35,Wind blowing from the south-southwest,4,,7,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,17.3,,,2500 or more  or no clouds.,,,8.0,1.7,No precipitation,12,,,,
30.03.2020 11:00,12.9,760.9,763.8,0.1,47,Wind blowing from the south-west,4,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,16.9,,,2500 or more  or no clouds.,,,7.0,1.9,No precipitation,12,,,,
30.03.2020 08:00,8.2,760.8,763.8,0.8,60,Wind blowing from the south,1,,6,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,6.3,16.9,,,2500 or more  or no clouds.,,,9.0,0.9,No precipitation,12,,,,
30.03.2020 05:00,6.8,760.0,762.9,0.0,60,Wind blowing from the south-southwest,1,,6,,Cloud development not observed or not observable. ,,,2.3,16.9,,,2500 or more  or no clouds.,,,13.0,-0.4,No precipitation,12,,,,
30.03.2020 02:00,9.6,760.0,763.0,0.0,52,Wind blowing from the south-southwest,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,16.9,,,2500 or more  or no clouds.,,,13.0,0.0,No precipitation,12,,,,
29.03.2020 23:00,11.2,760.0,762.9,0.8,40,Wind blowing from the south,2,,8,,Cloud development not observed or not observable. ,,,2.3,16.9,,,2500 or more  or no clouds.,,,9.0,-1.9,No precipitation,12,,,,
29.03.2020 20:00,12.9,759.2,762.2,0.8,35,Wind blowing from the south-west,2,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,16.9,,,2500 or more  or no clouds.,,,11.0,-2.2,No precipitation,12,,,,
29.03.2020 17:00,16.3,758.4,761.4,-2.0,24,Wind blowing from the south-southwest,3,,8,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,16.9,,,2500 or more  or no clouds.,,,16.0,-4.3,No precipitation,12,,,,
29.03.2020 14:00,15.8,760.4,763.3,-2.3,23,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,16.0,,,2500 or more  or no clouds.,,,20.0,-5.3,No precipitation,12,,,,
29.03.2020 11:00,12.5,762.7,765.7,-0.5,27,Wind blowing from the south-west,3,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,14.2,,,2500 or more  or no clouds.,,,28.0,-6.0,No precipitation,12,,,,
29.03.2020 08:00,6.8,763.2,766.2,0.8,41,Wind blowing from the south-southwest,1,,4,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,2.3,14.2,,,,,,19.0,-5.5,No precipitation,12,,,,
29.03.2020 05:00,3.0,762.4,765.4,-1.2,54,Wind blowing from the west,0,,6,,Cloud development not observed or not observable. ,,,-1.1,14.2,,,2500 or more  or no clouds.,,,23.0,-5.6,No precipitation,12,,,,
29.03.2020 02:00,6.4,763.6,766.6,-0.3,40,Wind blowing from the south-southwest,2,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,14.2,,,2500 or more  or no clouds.,,,22.0,-6.5,No precipitation,12,,,,
28.03.2020 23:00,7.9,763.9,766.9,0.4,31,Wind blowing from the south-southwest,2,,8,,Cloud development not observed or not observable. ,,,-1.1,14.2,,,2500 or more  or no clouds.,,,26.0,-8.2,No precipitation,12,,,,
28.03.2020 20:00,10.4,763.5,766.5,0.4,22,Wind blowing from the south-west,3,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,14.2,,,,,,30.0,-10.4,No precipitation,12,,,,
28.03.2020 17:00,13.4,763.1,766.1,-2.2,15,Wind blowing from the south-southwest,4,,8,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,14.2,,,2500 or more  or no clouds.,,,30.0,-12.7,No precipitation,12,,,,
28.03.2020 14:00,13.5,765.3,768.3,-3.4,14,Wind blowing from the south-southwest,4,,8,40%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,13.7,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
28.03.2020 11:00,10.7,768.7,771.7,-1.0,13,Wind blowing from the south-west,4,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,13.7,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
28.03.2020 08:00,6.3,769.7,772.7,0.5,24,Wind blowing from the west-southwest,2,,9,10%  or less  but not 0,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,-1.1,13.7,,,2500 or more  or no clouds.,,,30.0,-12.8,No precipitation,12,,,,
28.03.2020 05:00,1.0,769.2,772.2,0.3,33,Wind blowing from the west-southwest,1,,14,,Cloud development not observed or not observable. ,,,-0.3,13.7,,,2500 or more  or no clouds.,,,30.0,-13.5,No precipitation,12,,,,
28.03.2020 02:00,0.9,768.9,771.9,0.2,36,Wind blowing from the north,1,,15,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,0.9,13.7,,,2500 or more  or no clouds.,,,30.0,-12.5,No precipitation,12,,,,
27.03.2020 23:00,6.7,768.7,771.7,0.8,17,Wind blowing from the north-northeast,2,,15,,Cloud development not observed or not observable. ,,,3.7,13.7,,,2500 or more  or no clouds.,,,30.0,-16.6,No precipitation,12,,,,
27.03.2020 20:00,9.9,767.9,770.9,2.5,15,Wind blowing from the north,4,,15,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,13.7,,,2500 or more  or no clouds.,,,30.0,-15.5,No precipitation,12,,,,
27.03.2020 17:00,13.2,765.4,768.4,-1.4,10,Wind blowing from the north-west,5,,,20–30%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,3.7,13.7,,,2500 or more  or no clouds.,,,30.0,-17.8,No precipitation,12,,,,
